Test,Ref,Unit
VEGETABLE CELLS,ABSENT,
VEGETABLE MATTER,ABSENT,
Ventricular,,BPM
VERY LOW DENSITY LIPOPROTEIN,0-30.0,mg/dL
VISIBLE BLOOD,ABSENT,
VITAMIN B12,180-314,pg/mL
VITAMIN D (25 OH),Difficiency :0-5;,mg/mL
VLDL CHOLESTEROL,10-40,mg/dL
VLDL Cholesterol,12-40,mg/dL
VLDL CHOLESTEROL,0-27,mg/dL
VLDL Cholesterol,0-40,mg/dL
VLDL Cholesterol,07-35,mg/dL
VLDL Cholesterol,7-35,mg/dL
VLDL CHOLESTEROL,7.0-35.0,mg/dL
VLDL Cholesterol,10.0-30.0,mg/dL
"VLDL CHOLESTEROL, Serum",5-30,mg/dL
"VLDL CHOLESTEROL, Serum",5-30,
VLDL CHOLESTROL,15-40,mg/dL
VLDL CHOLESTEROL,0-30,mg/dL
VLDL Cholesterol (Serum),10-40,mg/dL
Volume,,ml
Volume of urine,,Millilitre
Volume of urine,,ml
WBC COUNT,"4,000-11,000",/cumm
WBC COUNT,"4,000-11,000",%
WBC COUNT,6000-14000,/cumm
WBC Total Count,4000-10000,/cmm
WEIGHT,,Kg
WHITE BLOOD CELL COUNT,4.0-10.0,thou/µL
WHITE CELL COUNT,4000-11000,/cumm
Yeast Cells,Absent,
Z N Stain (Sputum) for AFB,,
Z N Stain (Sputum) for AFB,Not detected,
Z N Stain (Sputum) for AFB,,Not detected
Z N Stain (Urine) for AFB,,Not detected
Z NStain (Sputum) for AFB,,Not detected
Z NStain (Sputum) for AFB,Not detected,
Z NStain (Sputum) for AFB,Not detected;,
